StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q1.3_First.Click,Q1.3_Last.Click,Q1.3_Page.Submit,Q1.3_Click.Count,Q1.4_Browser,Q1.4_Version,Q1.4_Operating.System,Q1.4_Resolution,Q2.2,Q2.2_3_TEXT,Q162,Q161_1,Q161_2,Q161_3,Q161_4,Q161_5,Q161_6,Q161_7,Q161_9,Q161_8,Q161_0,Q161_0_TEXT,Q153,Q144,Q144_0_TEXT,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.9_5,Q2.9_6,Q2.9_7,Q2.9_8,Q2.9_9,Q2.9_9_TEXT,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.4_5,Q3.4_6,Q3.4_7,Q171,Q3.7_9,Q3.7_1,Q3.7_2,Q3.7_3,Q3.7_4,Q3.7_5,Q3.7_6,Q3.7_7,Q3.7_8,Q3.7_0,Q3.7_0_TEXT,Q3.6_1,Q3.6_2,Q3.6_3,Q3.6_4,Q3.6_5,Q3.6_6,Q3.6_7,Q4.2,Q157_6,Q157_1,Q157_3,Q157_2,Q157_100,Q157_0,Q157_0_TEXT,Q160_6,Q160_1,Q160_3,Q160_101,Q160_2,Q160_100,Q160_0,Q160_0_TEXT,Q4.7,Q4.7_0_TEXT,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_0,Q4.6_7_TEXT,Q4.6_0_TEXT,Q175,Q4.10,Q4.3,Q4.3_0_TEXT,Q4.4,Q164,Q165,Q167_1,Q167_2,Q167_3,Q167_6,Q167_4,Q167_0,Q167_4_TEXT,Q167_0_TEXT,Q169_1,Q169_2,Q169_3,Q169_4,Q169_5,Q169_6,Q169_7,Q6.3,Q170_1,Q170_2,Q170_3,Q170_4,Q170_5,Q170_6,Q170_7,Q6.5,Q3.8,Q3.8_0_TEXT,Q159_1,Q159_2,Q159_3,Q159_4,Q159_5,Q159_8,Q159_9,Q159_6,Q159_7,Q159_10,Q2.3,Q2.4,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.2_5,Q8.2_6,Q8.2_7,Q8.2_8,Q8.2_9,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q10.1_1,Q10.1_2,Q10.1_3,Q10.1_4,Q10.1_5,Q11.2,Q11.3,Q11.3_0_TEXT,Q11.4_1,Q11.4_2,Q11.4_3,Q11.4_4,Q11.4_5,Q11.4_6,Q11.4_0,Q11.4_8,Q11.4_0_TEXT,Q11.5,Q11.5_0_TEXT,Q11.7_1,Q11.7_2,Q11.7_3,Q11.7_4,Q11.7_5,Q11.7_6,Q11.7_7,Q11.7_8,Q11.7_0,Q11.7_9,Q11.7_0_TEXT,Q11.8,Q11.9,Q11.10,Q11.11,Q11.12,Q11.13,Q11.13_0_TEXT,Q12.1,rand,Q4.2...Parent.Topics,Q4.2...Topics,Q11.13_7_TEXT...Parent.Topics,Q11.13_7_TEXT...Topics,Participant ID
16/11/20 7:44,16/11/20 8:02,IP Address,100,1121,TRUE,16/11/20 8:02,R_2qpXt9UVZelbb02,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,30.096,30.096,32.07,1,Chrome,85.0.4183.102,Windows NT 6.1,1024x768,Android,NA,Yes,Parents,Spouse,NA,NA,Children older than 13,NA,NA,NA,NA,NA,NA,20 -29,Once in about 5 minutes,NA,Sometimes,0,3,0,1,2,NA,Once a day,Few times a month,Few times a day,Few times a day,Once a day,Few times a day,Few times a day,Few times a week,Never,NA,Few times a day,Multiple times a week,Few times a day,Few times a day,Less than once a week,Less than once a week,Never,NA,NA,NA,Close running applications,Clear notifications,NA,Enable app locks,NA,NA,NA,NA,NA,Rarely,Sometimes,Sometimes,Sometimes,Always,Rarely,Never,TELEGRAM,NA,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,03-May,BUSINESS INFORMATION WATCHED THE STRANGER,NA,I left the phone screen unlocked.,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Somwhat unconcerned,Neither concerned nor unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,NONE,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,NA,Translate,NA,NA,NA,Calendar,E-mail,Banking and payments,Health and fitness,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,"Neither disagree, neither agree",Rather disagree,Agree,"Neither disagree, neither agree","Neither disagree, neither agree",1990,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INFORMATION TECHNOLOGY,NA,"More than $100,000",More than 10 or All my life,5,Married,NA,NONE,5.30E+11,NA,NA,NA,NA,64
16/11/20 7:46,16/11/20 8:02,IP Address,100,989,TRUE,16/11/20 8:02,R_3KPZmzBj4BdpZzH,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,3.657,9.366,10.329,2,Chrome,62.0.3202.9,Windows NT 10.0,1364x768,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 15 minutes,NA,Always,4,3,0,3,4,NA,Once a day,Once a day,Once a day,Few times a week,Few times a week,Once a day,Few times a week,Few times a day,Few times a week,NA,Multiple times a day,Few times a week,Few times a week,Never,Never,Never,Never,NA,NA,NA,Close running applications,NA,NA,NA,NA,Watch over the other person's use of the phone,Check all the applications used by the person,NA,NA,NA,NA,NA,NA,NA,NA,NA,new app downloader,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,NA,No,NA,NA,01-Feb,unwanted apps will download always,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,we must watch the phone datas,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Somwhat concerned,NA,Translate,NA,Instant messaging,NA,NA,E-mail,Banking and payments,NA,NA,Apps for work,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,"Neither disagree, neither agree",Rather agree,Rather agree,"Neither disagree, neither agree",1994,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,team leader,NA,"$20,000 to $29,999",More than 10 or All my life,4,Married,NA,no,7.29E+11,NA,NA,NA,NA,65
16/11/20 7:53,16/11/20 8:08,IP Address,100,870,TRUE,16/11/20 8:08,R_27KBcmC6YtTokmV,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,11.684,11.684,14.537,1,Chrome,86.0.4240.198,Windows NT 10.0,1364x768,Android,NA,Yes,Parents,NA,NA,Friends,NA,NA,NA,NA,NA,NA,NA,20 -29,Once in about 5 minutes,NA,Always,2,4,7,2,7,sometimes i will some actions in somtimes,Once a day,Once a day,Once a day,Once a day,Few times a day,Few times a day,Once a day,Once a day,Few times a week,NA,Few times a day,Few times a day,N/A,Once a day,N/A,Few times a day,Multiple times a day,the phone is sharing in my parents and friends,NA,NA,NA,NA,NA,Enable app locks,NA,Watch over the other person's use of the phone,Check all the applications used by the person,NA,NA,NA,NA,NA,NA,NA,NA,NA,"whatsapp, facebook, twitter, youtube",Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Extremely concerned,sometimes someone else see the notification,Yes,NA,Extremely concerned,03-May,unwanted messages,I had given my phone to someone else when the notification arrived.,I left the phone screen unlocked.,NA,"I was screen casting / projecting the device display to others (e.g., in a presentation) when the notification popped up on screen.",NA,NA,NA,NA,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Somwhat concerned,all apps notification,Somwhat concerned,Extremely concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Neither concerned nor unconcerned,is always seen the notification,Translate,NA,Instant messaging,Social media,NA,E-mail,Banking and payments,Health and fitness,Dating,Apps for work,Travel and navigation,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Rather agree,Agree,Agree,Agree,Agree,1995,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,software developer,NA,"$50,000 to $59,999",More than 10 or All my life,4,Never Married,NA,nothing and its very interesting,1.69E+11,NA,NA,NA,NA,66
16/11/20 7:54,16/11/20 8:13,IP Address,100,1107,TRUE,16/11/20 8:13,R_1o53wesCH9bDm7d,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,2.636,2.636,4.698,1,Chrome,86.0.4240.75,Windows NT 6.3,1364x768,Android,NA,Yes,Parents,Spouse,NA,Friends,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 3 hours,NA,Always,3,2,1,2,5,"some time i busy i 2 time silent mode, some times 1time turn the device off, i use some times use airplane mode 2 times",Once a day,Few times a day,Few times a week,Once a day,Once a day,Once a day,Few times a week,Few times a week,Once a day,shopping,Multiple times a day,Multiple times a day,Multiple times a day,Few times a day,Multiple times a day,Few times a day,Multiple times a day,"my wife multiple times a day its my phone used and my child, friends sometimes used",NA,NA,NA,Clear notifications,NA,Enable app locks,Change accessibility settings,NA,NA,NA,NA,Never,Rarely,Never,Sometimes,Never,Always,Always,send app,NA,Notification drawer,Floating notification,App Badge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,NA,Read the notification content,Cleared it from the phone lock screen,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Completely unconcerned,na,Yes,NA,Somewhat concerned,03-May,health issue and most of time negative experience i get it,NA,NA,I forgot to take appropriate actions to silence the notification.,"I was screen casting / projecting the device display to others (e.g., in a presentation) when the notification popped up on screen.",NA,NA,NA,NA,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,na,Somwhat concerned,Extremely concerned,Neither concerned nor unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,"i use socia media its every time, health and fitness is use this app",Translate,NA,NA,Social media,NA,E-mail,NA,Health and fitness,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Rather agree,"Neither disagree, neither agree",Agree,Rather agree,1991,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"Less than $10,000",More than 10 or All my life,5,Married,NA,NA,8.43E+11,NA,NA,NA,NA,67
16/11/20 7:53,16/11/20 8:15,IP Address,100,1340,TRUE,16/11/20 8:15,R_3L4KnxIWM6B1ksr,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,3.249,3.249,11.136,1,Chrome,86.0.4240.198,Windows NT 6.3,1280x800,Android,NA,Yes,NA,Spouse,NA,NA,Children older than 13,NA,NA,NA,NA,NA,NA,Oct-19,Once in about 30 minutes,NA,Sometimes,2,3,0,2,3,NA,Once a day,Few times a month,Few times a month,Few times a month,Few times a week,Few times a month,Few times a week,Few times a month,Never,NA,Few times a day,Few times a week,Few times a week,Few times a day,Few times a week,Few times a week,Less than once a week,NA,NA,NA,Close running applications,Clear notifications,NA,Enable app locks,NA,NA,NA,NA,NA,Rarely,N/A,N/A,N/A,Sometimes,Rarely,Always,Facebook,NA,Notification drawer,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,03-May,wrong message from anonymous,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Extremely concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Sharing my opinions,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,NA,Translate,NA,NA,Social media,NA,NA,NA,Health and fitness,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,"Neither disagree, neither agree",1972,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT Software,NA,"More than $100,000",More than 10 or All my life,3,Married,NA,nice questions,2.95E+11,NA,NA,NA,NA,68
16/11/20 8:11,16/11/20 8:25,IP Address,100,834,TRUE,16/11/20 8:25,R_3hz7myFZy5Ssin1,NA,NA,NA,NA,anonymous,EN,0.7,I will provide my best answers.,8.441,10.704,12.453,4,Chrome,86.0.4240.183,Windows NT 6.3,1366x768,Android,NA,Yes,NA,NA,Siblings,NA,NA,NA,NA,NA,NA,NA,NA,Oct-19,Once in about 1 hour,NA,Sometimes,9,2,5,5,8,NA,Few times a week,Once a day,Few times a day,Once a day,Few times a week,Few times a week,Once a day,Once a day,Few times a day,NA,Few times a day,Once a day,Few times a day,Few times a day,Once a day,Few times a day,Multiple times a day,no,NA,NA,Close running applications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,no,Yes,NA,Somewhat concerned,03-May,no,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,no,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,no,Translate,NA,NA,NA,Calendar,NA,NA,NA,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Rather agree,Agree,Rather agree,Rather agree,Agree,1971,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,busniness,NA,"$50,000 to $59,999",5,4,Married,NA,no,8.24E+11,NA,NA,NA,NA,69
16/11/20 7:47,16/11/20 8:31,IP Address,100,2650,TRUE,16/11/20 8:31,R_2xznuMfLUUJjfgW,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,10.515,11.415,12.099,2,Chrome,84.0.4147.89,Windows NT 10.0,1440x960,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-19,Once in about 3 hours,NA,Always,2,1,0,0,0,NA,Few times a month,Never,Never,Never,Never,Few times a month,Never,Never,Never,NA,Multiple times a week,Less than once a week,Never,Never,Less than once a week,Less than once a week,Never,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,NA,NA,NA,NA,Sometimes,Always,N/A,N/A,Always,Always,N/A,Gmail app,NA,NA,NA,NA,NA,NA,NA,NA,Notification center,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat unconcerned,Completely unconcerned,Somwhat concerned,Extremely concerned,Somwhat unconcerned,Somwhat concerned,My family members are free to know some things about me,Extremely concerned,Somwhat concerned,Completely unconcerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,NA,Translate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,Always,Always,When unlocked,Always,Always,When unlocked,Always,Always,Always,When unlocked,Disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rather disagree,1985,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sales Officer,NA,"$30,000 to $39,999",More than 10 or All my life,More than 10,Married,NA,No,3.90E+11,NA,NA,NA,NA,70
16/11/20 7:58,16/11/20 8:41,IP Address,100,2542,TRUE,16/11/20 8:41,R_3QLBr3XRhOVP28y,NA,NA,NA,NA,anonymous,EN,0.7,I will provide my best answers.,26.38,42.552,90.609,2,Chrome,86.0.4240.198,Windows NT 10.0,1536x864,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Whenever a notification is delivered,NA,Always,8,24,0,0,0,"I DONT LIKE TO KEEP THE PHONE IN RINGING MODE , SO MOSTLY IT WILL BE IN SILENT AND VIBRATION. AND WHEN SLEEP I USED TO PUT IT IN DND MODE.",Once a day,Never,Few times a day,Never,Never,Once a day,Never,Never,Never,NA,Multiple times a day,Never,Less than once a week,Never,Multiple times a day,Never,Never,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,Watch over the other person's use of the phone,Check all the applications used by the person,NA,NA,Never,N/A,Always,N/A,Rarely,N/A,N/A,WHATSAPP,Lock Screen,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,Yes,NA,Somewhat concerned,01-Feb,"I WAS TEXTING SOMETHING PERSONAL WITH MY HUBBY, SUDDENLY WHEN I WAS WITH MY COLLEAGUE IT POPPED UP AND THE PERSON READ OUT, IT WAS A NEGATIVE EXPERIENCE",NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Extremely concerned,Extremely concerned,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,Extremely concerned,N/A,NA,Extremely concerned,Extremely concerned,Completely unconcerned,Somwhat concerned,Extremely concerned,Somwhat unconcerned,N/A,NA,Translate,NA,Instant messaging,Social media,NA,NA,Banking and payments,NA,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Rather disagree,Disagree,Disagree,Disagree,1978,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARKETING MANAGER,NA,"$50,000 to $59,999",More than 10 or All my life,4,Married,NA,NO,9.83E+11,NA,NA,NA,NA,71
16/11/20 8:40,16/11/20 8:45,IP Address,100,318,TRUE,16/11/20 8:45,R_3ncqQrJvmMfzw14,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,9.776,9.776,12.109,1,Chrome,86.0.4240.193,Windows NT 10.0,1366x768,Android,NA,Yes,NA,NA,Siblings,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 30 minutes,NA,About half the time,5,6,4,2,6,I WILL USE SILENT MODE WHILE SLEEPING DAILY,Once a day,Few times a month,Once a day,Few times a month,Few times a week,Few times a week,Few times a week,Few times a week,Once a day,NA,Few times a day,Multiple times a week,Once a day,Few times a day,Few times a day,Once a day,Few times a week,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OLA,NA,Notification drawer,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,NA,NA,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Neither concerned nor unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,IT IS VERY CONCERNED,Somwhat unconcerned,Somwhat concerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Completely unconcerned,Completely unconcerned,IT IS VERY MUCH CONCERNED FOR ME,Translate,NA,NA,Social media,Calendar,NA,NA,NA,NA,Apps for work,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,"Neither disagree, neither agree",1992,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANAGER,NA,"$30,000 to $39,999",More than 10 or All my life,4,Never Married,NA,NO,5.88E+11,NA,NA,NA,NA,72
16/11/20 8:15,16/11/20 8:48,IP Address,100,1971,TRUE,16/11/20 8:48,R_1IFAKwyFj6khZl6,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,15.855,15.855,19.832,1,Chrome,86.0.4240.198,Windows NT 6.3,1366x768,iOS (iPhone),NA,Yes,Parents,NA,Siblings,Friends,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 15 minutes,NA,Always,4,10,0,0,10,NA,Once a day,Once a day,Few times a month,Once a day,Few times a week,Few times a month,Few times a week,Few times a month,Once a day,entertiment,Never,Once a day,Once a day,Never,Multiple times a day,Once a day,Never,NA,NA,NA,NA,Clear notifications,NA,Enable app locks,NA,NA,Check all the applications used by the person,NA,NA,Rarely,Never,Never,Never,Rarely,Sometimes,Always,Zoom could meetings,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,06-Oct,virus detection notifications.,NA,I left the phone screen unlocked.,NA,"I was screen casting / projecting the device display to others (e.g., in a presentation) when the notification popped up on screen.",NA,NA,NA,NA,Somwhat concerned,Neither concerned nor unconcerned,Extremely concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,"Because, All are relatives.",Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,NA,Translate,NA,Instant messaging,Social media,NA,NA,Banking and payments,NA,NA,Apps for work,NA,NA,NA,Always,Always,When unlocked,When unlocked,Always,Always,Always,Never,Always,When unlocked,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"Neither disagree, neither agree",Rather disagree,Rather agree,Rather agree,"Neither disagree, neither agree",1991,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Administrator,NA,"More than $100,000",More than 10 or All my life,3,Never Married,NA,Nothing,9.89E+11,NA,NA,NA,NA,73
16/11/20 8:33,16/11/20 9:09,IP Address,100,2125,TRUE,16/11/20 9:09,R_2Sk8HBquD3skZvV,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,2.136,2.136,3.869,1,Chrome,86.0.4240.193,Windows NT 10.0,1600x900,iOS (iPhone),NA,Yes,Parents,Spouse,Siblings,NA,NA,NA,NA,NA,NA,NA,NA,20 -29,Once in about 3 hours,NA,Always,3,2,0,1,0,NA,Few times a week,Few times a month,Never,Never,Never,Few times a month,Never,Never,Never,NA,Multiple times a week,Few times a week,Multiple times a week,Never,Less than once a week,Less than once a week,Never,NA,NA,NA,Close running applications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Facebook App,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,Somwhat concerned,Completely unconcerned,Extremely concerned,Extremely concerned,Completely unconcerned,Extremely concerned,I feel open to my family though i have boundaries.,Extremely concerned,Extremely concerned,Completely unconcerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,NA,Translate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,Always,When unlocked,When unlocked,Always,When unlocked,When unlocked,When unlocked,Always,Always,When unlocked,Strongly disagree,Strongly disagree,Disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Rather disagree,Disagree,Disagree,1983,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accountant,NA,"$40,000 to $49,999",More than 10 or All my life,3,Married,NA,No,4.18E+11,NA,NA,NA,NA,74
